"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0009063","amino acid catabolic process","8/169","80/11800",0.1,6.98224852071006,6.47147180898078,1.80965345735361e-05,0.0325905059176514,0.0318290095556388,"HOGA1/GSTZ1/HYKK/ALDH4A1/ETFA/SHMT1/HIBCH/ALDH6A1",8,"Up en respondedores"
"GO:1901606","alpha-amino acid catabolic process","7/169","67/11800",0.104477611940299,7.29488651417469,6.22842437952114,4.60852768624398e-05,0.0325905059176514,0.0318290095556388,"HOGA1/GSTZ1/HYKK/ALDH4A1/SHMT1/HIBCH/ALDH6A1",7,"Up en respondedores"
"GO:0022904","respiratory electron transport chain","8/169","95/11800",0.0842105263157895,5.87978822796637,5.75618168910519,6.32674160858362e-05,0.0325905059176514,0.0318290095556388,"SDHAF2/COX7B/UQCRC2/NDUFC1/ETFA/NDUFB6/NDUFB4/COX7C",8,"Up en respondedores"
"GO:0002181","cytoplasmic translation","10/169","155/11800",0.0645161290322581,4.50467646497423,5.29421360583475,7.65411443576096e-05,0.0325905059176514,0.0318290095556388,"RPL27/RPL34/PARP16/RPS23/RPS12/RPL23A/RPL10A/RPL23/RPL27A/RPS29",10,"Up en respondedores"
"GO:0090407","organophosphate biosynthetic process","19/169","493/11800",0.0385395537525355,2.69092742177467,4.62308795149823,8.12092886152687e-05,0.0325905059176514,0.0318290095556388,"CHP1/PIGB/PARP16/AGPAT3/COASY/NDUFC1/RAB38/SHMT1/GPHN/SORD/PIK3CB/PIGY/PLSCR1/NDUFB6/CPS1/SLC44A5/NDUFB4/PGAP2/EFR3B",19,"Up en respondedores"
"GO:0019646","aerobic electron transport chain","7/169","74/11800",0.0945945945945946,6.60482968175276,5.82989536141959,8.76874598681205e-05,0.0325905059176514,0.0318290095556388,"SDHAF2/COX7B/UQCRC2/NDUFC1/NDUFB6/NDUFB4/COX7C",7,"Up en respondedores"
"GO:0022900","electron transport chain","8/169","103/11800",0.0776699029126214,5.42310564715344,5.43458148860192,0.000112332426156265,0.0347448437711247,0.0339330100365622,"SDHAF2/COX7B/UQCRC2/NDUFC1/ETFA/NDUFB6/NDUFB4/COX7C",8,"Up en respondedores"
"GO:0006520","amino acid metabolic process","11/169","198/11800",0.0555555555555556,3.87902695595003,4.92458140310458,0.000129132427314689,0.0347448437711247,0.0339330100365622,"HOGA1/GSTZ1/HYKK/ALDH4A1/ETFA/SHMT1/BAAT/HIBCH/CPS1/AARS2/ALDH6A1",11,"Up en respondedores"
"GO:0042773","ATP synthesis coupled electron transport","7/169","81/11800",0.0864197530864197,6.03404193147783,5.47988552356457,0.000155806474309976,0.0347448437711247,0.0339330100365622,"SDHAF2/COX7B/UQCRC2/NDUFC1/NDUFB6/NDUFB4/COX7C",7,"Up en respondedores"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","7/169","81/11800",0.0864197530864197,6.03404193147783,5.47988552356457,0.000155806474309976,0.0347448437711247,0.0339330100365622,"SDHAF2/COX7B/UQCRC2/NDUFC1/NDUFB6/NDUFB4/COX7C",7,"Up en respondedores"
"GO:0046164","alcohol catabolic process","4/169","22/11800",0.181818181818182,12.6949973103819,6.6180968242018,0.000242808559920972,0.0459749915676542,0.0449007588168405,"SULT1A1/CYP39A1/ALDH3B2/SORD",4,"Up en respondedores"
"GO:1901605","alpha-amino acid metabolic process","9/169","146/11800",0.0616438356164384,4.30412580043771,4.84231369165326,0.000247399057763162,0.0459749915676542,0.0449007588168405,"HOGA1/GSTZ1/HYKK/ALDH4A1/SHMT1/BAAT/HIBCH/CPS1/ALDH6A1",9,"Up en respondedores"
"GO:0044282","small molecule catabolic process","12/169","272/11800",0.0441176470588235,3.08040375913679,4.18420084616186,0.000541108898908767,0.0928209880435807,0.0906521709993715,"HOGA1/GSTZ1/HYKK/SULT1A1/ALDH4A1/CYP39A1/ETFA/SHMT1/ALDH3B2/SORD/HIBCH/ALDH6A1",12,"Up en respondedores"
